Categ,dbID,siteID,SiteName,SubTitle,Lat,Lon,Desc,Sview,Sviewlat,Sviewlong,Heading,Zoom,Pitch,top,mapzoom,sponsor,ImageN,Image1,Image2,Image3,Image4
2,1,C1,Limestone Islands,Giant Squids in Georgian Bay,45.39,-80.532,"The Limestone Islands are located off the eastern shore of Georgian Bay, near Franklin Island at the mouth of Parry Sound. They are remnants of Paleozoic Limestone that once covered much of the Canadian Shield. Samuel de Champlain visited this area in 1615 and the bay itself was named in 1820 after King George IV.",n,NA,NA,NA,NA,NA,n,14,,2,sitePictures/C1a.jpg,sitePictures/C1b.jpg,sitePictures/C1c.jpg,sitePictures/C1d.jpg
1,10,C10,Seeing Stars,Torrence Barrens,44.944101,-79.52011,"Many city dwellers have never seen a truly starry night sky. The light pollution from urban areas obscures our natural view of stars, star clusters, nebulas, planets, galaxies, and the Northern Lights. The Ontario government created the worlds first Dark Sky Reserve in 1991 at Torrence Barrens, on the wonderfully twisted Highway 13, some 10 kilometres west of Gravenhurst. Here the nighttime and daytime views are truly spectacular.",n,NA,NA,NA,NA,NA,n,15,,NA,sitePictures/C10a.jpg,sitePictures/C10b.jpg,sitePictures/C10c.jpg,sitePictures/C10d.jpg
5,100,C100,The Founding of Actinolite,,44.543364,-77.325353,"In 1853 Billa Flint (1805-94) built sawmills here on the Skootamatta River. A village, at first named Troy but soon renamed Bridgewater, was laid out. Extensive Marble deposits were subsequently discovered and the church, erected 1864-66, is believed to be the only one in Canada constructed of marble. In 1883 the mining of actinolite (a form of asbestos) was began nearby, and about 1895 the village received its name. Actinolite can be produced by the metamorphism of marble when intruded by granite plutons. ",n,NA,NA,NA,NA,NA,n,16,a,NA,sitePictures/C100a.jpg,sitePictures/C100b.jpg,sitePictures/C100c.jpg,sitePictures/C100d.jpg
4,101,C101,MacGregor Point Provincial Park,,44.410271,-81.463716,"On a 7 kilometre stretch along the coast of Lake Huron, MacGregor Point lies on the edge of a woodland corridor that protects a unique ecosystem of sand dunes and coastal wetlands. The park contains campsites and many trails along with an observation tower with a great vantage point to watch over more than 100 types of migratory birds that pass by each year. ",n,NA,NA,NA,NA,NA,n,13,,NA,sitePictures/C101a.jpg,sitePictures/C101b.jpg,sitePictures/C101c.jpg,sitePictures/C101d.jpg
4,102,C102,Sauble Falls,,44.677686,-81.255981,The rapids and waterfalls of the Sauble River cascade over Silurian dolostone and attract thousands of spawning rainbow trout and Chinook salmon every spring as they thrash upstream to lay eggs. Sauble Falls Provincial Park offers a great opportunity to witness this mass migration along with trails and canoe routes.,n,NA,NA,NA,NA,NA,n,15,,NA,sitePictures/C102a.jpg,sitePictures/C102b.jpg,sitePictures/C102c.jpg,sitePictures/C102d.jpg
3,103,C103,Havelock,,44.433278,-77.885385,"Havelock, Ontario is named after the British General Sir Henry Havelock (1795-1857) who took part in the Afghan Wars and famously relieved the besieged fortress of Lucknow in India during the Rebellion in 1857. His statue in Trafalgar Square, London is overlooked by Canada House on the opposite side of the square. The town of Havelock was established in 1892 after the arrival of the Canadian Pacific Railway and today ships nepheline syenite from two mines in the area (Site C53). Geologically, the town is located in the 'Land in Between' (Site E53) which straddles the boundary between the Canadian Shield to the north and the limestone plains to the south.",y,44.433278,-77.885385,34.23,0,0.74,n,14,,1,sitePictures/C103a.jpg,sitePictures/C103b.jpg,sitePictures/C103c.jpg,sitePictures/C103d.jpg
3,104,C104,1885 Dynamite Explosion,,44.369192,-78.22425,Beside the Duoro community centre is an open field marking an unfortunate explosion that occurred on September 4 1885. Dynamite intended to open the Trent Severn Lock (Site C11) was hauled on a horse drawn wagon suddenly exploded leaving massive 10 foot deep craters and only fragments of the wagon and its drivers. The blast was heard all the way from Madoc and Peterborough attracting thousands to awe in the aftermath.,y,44.369252,-78.224475,105.53,0,0.89,n,14,a,1,sitePictures/C104a.jpg,sitePictures/C104b.jpg,sitePictures/C104c.jpg,sitePictures/C104d.jpg
5,105,C105,Highway 28,Limestones to Marble,44.620593,-78.13503,"Taking Highway 28 north to Bancroft, the extent of the southern limestone becomes clear at Young's Point where tectonic marble (Site E44) outcrops appear near Eels Creek. This transition zone landscape is famously known as the 'Land Between' (Site E53), where human settlements are most likely built on a pocket oasis of glacial sediments over a mostly rocky land. ",y,44.62062,-78.13486,168.4,0,7.6,n,17,a,2,sitePictures/C105a.jpg,sitePictures/C105b.jpg,sitePictures/C105c.jpg,sitePictures/C105d.jpg
5,106,C106,Rusty Rock at Apsley,,44.7544,-78.0917,On Highway 28 facing the Apsley Fire Hall is an outcrop of marble enriched with local iron giving a noticeably rusted appearance. Closer inspection will uncover small black crystals of biotite and pyrite mixed into the parent material along with a distinct skin peeling over softer sandy material on parts of the outcrop. This is caused by chemical weathering that has degraded the marble. Iron is very common in this area and has been mined in the past (Site C35).,y,44.752894,-78.091864,248.31,0,-0.22,n,14,a,2,sitePictures/C106a.jpg,sitePictures/C106b.jpg,sitePictures/C106c.jpg,sitePictures/C106d.jpg
5,107,C107,Boudins at Wilberforce,,44.984981,-78.215546,"Boudins (French for sausage) are rock layers that have undergone intense deformations under extreme heat and pressure. As a result, the layer is stretched and pinched. This fine outcrop of tectonic marble (Site E44, C105) is rich in biotite and amphibolite and illustrates the difference in abilities of different rocks to deform in a tectonic setting. The lighter colored marble is far more easily stretched than the darker and less ductile biotite, resulting in distinct stretched sausage shapes.",y,44.984981,-78.215546,199.47,0,-1.18,n,16,a,NA,sitePictures/C107a.jpg,sitePictures/C107b.jpg,sitePictures/C107c.jpg,sitePictures/C107d.jpg
